step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
839,1.83808,0.53097,,
840,1.65029,0.61205,,
841,1.80507,0.57133,,
842,1.35327,0.65909,,
843,1.49767,0.62442,,
844,1.63396,0.60931,,
845,1.73415,0.56698,,
846,1.75604,0.54768,,
847,1.5734,0.61887,,
848,1.99027,0.50517,,
849,1.92423,0.5204,,
850,1.62951,0.58621,,
851,1.97237,0.52884,,
852,1.60581,0.5917,,
853,1.92745,0.52358,,
854,1.97377,0.52905,,
855,1.66422,0.59031,,
856,1.90888,0.51509,,
857,1.66094,0.58429,,
858,1.94225,0.52144,,
859,1.89199,0.53279,,
860,1.53564,0.61267,,
861,1.73388,0.57011,,
862,1.88544,0.54438,,
863,2.08314,0.48866,,
864,1.99243,0.53095,,
865,1.74482,0.55316,,
866,1.41677,0.65182,,
867,1.64194,0.58549,,
868,1.79147,0.55247,,
869,1.49095,0.61824,,
870,1.81253,0.57544,,
871,1.89883,0.53864,,
872,1.41092,0.65842,,
873,1.72109,0.59223,,
874,1.48474,0.63184,,
875,1.55654,0.58789,,
876,1.46094,0.63399,,
877,1.95468,0.54405,,
878,1.39207,0.6681,,
879,1.64762,0.60242,,
880,1.96428,0.53534,,
881,1.91056,0.53022,,
882,1.88066,0.53788,,
883,1.63794,0.58634,,
884,1.82908,0.54816,,
885,2.08567,0.49885,,
886,1.68197,0.57647,,
887,1.58445,0.61139,,
888,1.66242,0.5919,,
889,1.83018,0.54914,,
890,2.07229,0.51136,,
891,1.21329,0.69025,,
892,1.54682,0.62024,,
893,2.03836,0.53248,,
894,1.95179,0.51508,,
895,1.70034,0.58828,,
896,1.66123,0.60267,,
897,2.03894,0.52143,,
898,1.83077,0.57409,,
899,1.23906,0.69531,,
900,1.66699,0.59075,,
901,1.64363,0.58553,,
902,1.90528,0.54786,,
903,1.74911,0.57339,,
904,2.05031,0.50797,,
905,1.56417,0.63571,,
906,1.81315,0.56475,,
907,1.54779,0.61745,,
908,1.39403,0.63607,,
909,1.25503,0.69933,,
910,1.51215,0.61993,,
911,1.36803,0.67003,,
912,1.77919,0.56846,,
913,1.47563,0.66315,,
914,1.74382,0.56648,,
915,1.56643,0.58848,,
916,2.20301,0.49968,,
917,1.83853,0.55217,,
918,2.32343,0.47245,,
919,1.58675,0.62732,,
920,2.18976,0.49063,,
921,1.64781,0.60804,,
922,2.17681,0.46943,,
923,1.64892,0.58756,,
924,1.79197,0.56883,,
925,1.8732,0.56124,,
926,1.87697,0.55191,,
927,1.69119,0.59188,,
928,2.01916,0.52603,,
929,1.57552,0.60811,,
930,1.81584,0.55625,,
931,1.91559,0.53578,,
932,1.93165,0.52111,,
933,2.05733,0.53245,,
934,1.67272,0.60707,,
935,1.88965,0.57759,,
936,1.91325,0.53831,,
937,1.64253,0.60456,,
938,1.84598,0.56086,,
939,1.57153,0.63247,,
940,1.70393,0.57491,,
941,1.74544,0.57907,,
942,2.07221,0.5299,,
943,1.91241,0.55336,,
944,1.482,0.62758,,
945,1.74694,0.57413,,
946,1.69498,0.58327,,
947,1.9065,0.53682,,
948,1.75676,0.56772,,
949,1.45011,0.65325,,
950,1.72789,0.56917,,
951,2.11953,0.50846,,
952,1.82841,0.54232,,
953,1.96127,0.52246,,
954,1.83017,0.53872,,
955,1.95628,0.52221,,
956,1.78816,0.5752,,
957,1.81396,0.54087,,
958,1.67984,0.60176,,
959,1.86152,0.53525,,
960,1.72109,0.59363,,
961,1.93915,0.54662,,
962,1.82775,0.57004,,
963,2.01815,0.51915,,
964,2.06622,0.52178,,
965,1.70164,0.5834,,
966,2.07847,0.50033,,
967,1.56899,0.60872,,
968,1.75101,0.57626,,
969,1.94734,0.5067,,
970,1.58089,0.60888,,
971,1.65785,0.56873,,
972,1.96637,0.53061,,
973,1.65351,0.61236,,
974,1.6233,0.61665,,
975,1.93566,0.53701,,
976,1.61563,0.60065,,
977,1.7567,0.55578,,
978,1.86922,0.5472,,
979,1.31504,0.65512,,
980,1.55092,0.61635,,
981,1.724,0.575,,
982,1.34336,0.67321,,
983,1.71093,0.59327,,
984,1.86776,0.54444,,
985,1.81447,0.55172,,
986,1.59019,0.59902,,
987,1.18556,0.70391,,
988,2.18762,0.48978,,
989,1.94633,0.51561,,
